PMID	Journal	Title	Authors	 
21757045	Am J Cardiol. 2011 Aug 1;108(3):402-8. doi: 10.1016/j.amjcard.2011.03.059.	Usefulness of acute delirium as a predictor of adverse outcomes in patients >65 years of age with acute decompensated heart failure.	"Uthamalingam S(1), Gurm GS, Daley M, Flynn J, Capodilupo R."	 
21878068	Kardiologiia. 2011;51(6):32-7.	[Clinical value of brain natriuretic peptide level in patients with atrial fibrillation].	[Article in Russian]	 
19616673	Am J Cardiol. 2009 Aug 1;104(3):389-92. doi: 10.1016/j.amjcard.2009.03.059. Epub  2009 Jun 6.	Usefulness of cystatin C and prognosis following admission for acute heart failure.	"Campbell CY(1), Clarke W, Park H, Haq N, Barone BB, Brotman DJ."	 
22850655	Prof Case Manag. 2012 Sep-Oct;17(5):219-26; quiz 227-8.	Case management programs for hospital readmission prevention.	"Askren-Gonzalez A(1), Frater J."	 
23420798	Cleve Clin J Med. 2013 Jan;80 Electronic Suppl 1:eS20-6. doi: 10.3949/ccjm.80.e-s1.05.	"Home-based care for heart failure: Cleveland Clinic's ""Heart Care at Home"" transitional care program."	"Gorodeski EZ(1), Chlad S, Vilensky S."	 
19808297	Circ Heart Fail. 2008 Nov;1(4):234-41. doi: 10.1161/CIRCHEARTFAILURE.108.794008.	Discordant short- and long-term outcomes associated with diabetes in patients with heart failure: importance of age and sex: a population study of 5.1 million  people in Scotland.	"MacDonald MR(1), Jhund PS, Petrie MC, Lewsey JD, Hawkins NM, Bhagra S, Munoz N, Varyani F, Redpath A, Chalmers J, MacIntyre K, McMurray JJ."	 
10410137	Am J Nurs. 1999 Jul;99(7):69.	Working with relapse.	"Snow D(1), Gorman M."	 
19627290	Congest Heart Fail. 2009 Jul-Aug;15(4):170-5. doi: 10.1111/j.1751-7133.2009.00092.x.	Effects of angiotensin-converting enzyme inhibitor or angiotensin receptor blocker therapy after hospital discharge on subsequent rehospitalization for acute myocardial infarction and heart failure.	"Hess G(1), Preblick R, Hill J, Plauschinat CA, Yaskin J."	 
23632274	Home Healthc Nurse. 2013 Jul-Aug;31(7):368-77. doi: 10.1097/NHH.0b013e318291fd56.	The effect of telemonitoring at home on quality of life and self-care behaviors of patients with heart failure.	"Hoban MB(1), Fedor M, Reeder S, Chernick M."	 
24882531	Can J Cardiol. 2014 Jun;30(6):612-8. doi: 10.1016/j.cjca.2014.02.017. Epub 2014 Feb 28.	Determinants of early readmission after hospitalization for heart failure.	"Eastwood CA(1), Howlett JG(2), King-Shier KM(1), McAlister FA(3), Ezekowitz JA(4), Quan H(5)."	 
17884378	Am J Cardiol. 2007 Oct 1;100(7):1139-44. Epub 2007 Jul 16.	"Effect of gender, ethnicity, pulmonary disease, and symptom stability on rehospitalization in patients with heart failure."	"Howie-Esquivel J(1), Dracup K."	 
CID: PMC3621028 PMID: 23403683	JAMA. 2013 Feb 13;309(6):587-93. doi: 10.1001/jama.2013.333.	"Relationship between hospital readmission and mortality rates for patients hospitalized with acute myocardial infarction, heart failure, or pneumonia."	"Krumholz HM(1), Lin Z, Keenan PS, Chen J, Ross JS, Drye EE, Bernheim SM, Wang Y,  Bradley EH, Han LF, Normand SL."	 
CID: PMC3535010 PMID: 22865546	J Hosp Med. 2012 Nov-Dec;7(9):690-6. doi: 10.1002/jhm.1965. Epub 2012 Aug 3.	Correlations among risk-standardized mortality rates and among risk-standardized  readmission rates within hospitals.	"Horwitz LI(1), Wang Y, Desai MM, Curry LA, Bradley EH, Drye EE, Krumholz HM."	 
CID: PMC4309072 PMID: 24922626	J Am Heart Assoc. 2014 Jun 10;3(3):e000806. doi: 10.1161/JAHA.114.000806.	B-type natriuretic peptide predicts 30-day readmission for heart failure but not  readmission for other causes.	"Flint KM(1), Allen LA(2), Pham M(3), Heidenreich PA(3)."	 
CID: PMC4452280 PMID: 21777714	Psychosomatics. 2011 Jul-Aug;52(4):319-27. doi: 10.1016/j.psym.2011.02.007.	Linking electronic health record-extracted psychosocial data in real-time to risk of readmission for heart failure.	"Watson AJ(1), O'Rourke J, Jethwani K, Cami A, Stern TA, Kvedar JC, Chueh HC, Zai  AH."	 
16398071	Lippincotts Case Manag. 2001 Nov-Dec;6(6):246-55.	Variables that discriminate length of stay and readmission within 30 days among heart failure patients.	"Armola RR(1), Topp R."	 
23266127	Rev Clin Esp (Barc). 2013 Jan-Feb;213(1):1-7. doi: 10.1016/j.rce.2012.10.006. Epub 2012 Dec 22.	"Trends and predictors of hospitalization, readmissions and length of stay in ambulatory patients with heart failure."	"[Article in English, Spanish]"	 
CID: PMC1769179 PMID: 16230445	Heart. 2005 Nov;91(11):1466-8.	Impact of pre-diabetic state on clinical outcomes in patients with acute coronary syndrome.	"Otten R, Kline-Rogers E, Meier DJ, Dumasia R, Fang J, May N, Resin Y, Armstrong DF, Saab F, Petrina M, Eagle KA, Mukherjee D."	 
15812748	J Card Fail. 2005 Apr;11(3):200-5.	"Demographics, clinical characteristics, and outcomes of patients hospitalized for decompensated heart failure: observations from the IMPACT-HF registry."	"O'Connor CM(1), Stough WG, Gallup DS, Hasselblad V, Gheorghiade M."	 
CID: PMC3406314 PMID: 22798046	Curr Heart Fail Rep. 2012 Sep;9(3):252-9. doi: 10.1007/s11897-012-0100-1.	The challenge of heart failure discharge from the emergency department.	"Ho EC(1), Schull MJ, Lee DS."	 
14633873	Clin Chem. 2003 Dec;49(12):2020-6.	Prognostic value of combination of cardiac troponin T and B-type natriuretic peptide after initiation of treatment in patients with chronic heart failure.	"Ishii J(1), Cui W, Kitagawa F, Kuno T, Nakamura Y, Naruse H, Mori Y, Ishikawa T,  Nagamura Y, Kondo T, Oshima H, Nomura M, Ezaki K, Hishida H."	 
24621940	JACC Heart Fail. 2013 Aug;1(4):361-4. doi: 10.1016/j.jchf.2013.04.010. Epub 2013  Aug 5.	Drug therapy to reduce early readmission risk in heart failure: ready for prime time?	"Vaduganathan M(1), Fonarow GC(2), Gheorghiade M(3)."	 
18791404	Crit Pathw Cardiol. 2008 Sep;7(3):153-72. doi: 10.1097/HPC.0b013e31818207e4.	Critical pathway for the management of acute heart failure at the Veterans Affairs San Diego Healthcare System: transforming performance measures into cardiac care.	"Gardetto NJ(1), Greaney K, Arai L, Brenner A, Carroll KC, Howerton NM, Lee M, Pada L, Tseng M, Maisel AS."	 
22825412	Circulation. 2012 Jul 24;126(4):501-6. doi: 10.1161/CIRCULATIONAHA.112.125435.	Rehospitalization for heart failure: predict or prevent?	"Desai AS(1), Stevenson LW."	 
20091137	Ir J Med Sci. 2010 Jun;179(2):255-8. doi: 10.1007/s11845-009-0452-z. Epub 2009 Nov 29.	Frequency and risk factors associated with emergency medical readmissions in Galway University Hospitals.	"Gorman J(1), Vellinga A, Gilmartin JJ, O'Keeffe ST."	 
CID: PMC3513266 PMID: 19130987	J Am Coll Cardiol. 2009 Jan 13;53(2):184-92. doi: 10.1016/j.jacc.2008.09.031.	Clinical effectiveness of beta-blockers in heart failure: findings from the OPTIMIZE-HF (Organized Program to Initiate Lifesaving Treatment in Hospitalized Patients with Heart Failure) Registry.	"Hernandez AF(1), Hammill BG, O'Connor CM, Schulman KA, Curtis LH, Fonarow GC."	 
11823086	J Am Coll Cardiol. 2002 Feb 6;39(3):471-80.	A randomized trial of the efficacy of multidisciplinary care in heart failure outpatients at high risk of hospital readmission.	"Kasper EK(1), Gerstenblith G, Hefter G, Van Anden E, Brinker JA, Thiemann DR, Terrin M, Forman S, Gottlieb SH."	 
22522474	Clin Cardiol. 2012 Aug;35(8):474-7. doi: 10.1002/clc.21996. Epub 2012 Apr 20.	Does the United States economy affect heart failure readmissions? A single metropolitan center analysis.	"Thompson KA(1), Morrissey RP, Phan A, Schwarz ER."	 
17338997	J Card Fail. 2007 Feb;13(1):8-13.	Prediction of rehospitalization and death in severe heart failure by physicians and nurses of the ESCAPE trial.	"Yamokoski LM(1), Hasselblad V, Moser DK, Binanay C, Conway GA, Glotzer JM, Hartman KA, Stevenson LW, Leier CV."	 
23296069	Nat Rev Cardiol. 2013 Feb;10(2):85-97. doi: 10.1038/nrcardio.2012.181. Epub 2013  Jan 8.	The disconnect between phase II and phase III trials of drugs for heart failure.	"Vaduganathan M(1), Greene SJ, Ambrosy AP, Gheorghiade M, Butler J."	 
25160603	Appl Health Econ Health Policy. 2014 Dec;12(6):573-85. doi: 10.1007/s40258-014-0124-7.	"Using decision trees to manage hospital readmission risk for acute myocardial infarction, heart failure, and pneumonia."	"Hilbert JP(1), Zasadil S, Keyser DJ, Peele PB."	 
20804699	Rev Esp Cardiol. 2010 Sep;63(9):1035-44.	Effect of acute heart failure following discharge in patients with non-ST-elevation acute coronary syndrome on the subsequent risk of death or acute myocardial infarction.	"[Article in English, Spanish]"	 
19281916	Clin Ther. 2008;30 Pt 2:2217-27. doi: 10.1016/j.clinthera.2008.12.005.	"Retrospective claims database analysis to determine relationship between renin-angiotensin system agents, rehospitalization, and health care costs in patients with heart failure or myocardial infarction."	"Sun SX(1), Ye X, Lee KY, Dupclay L Jr, Plauschinat C."	 
20061519	Circ Heart Fail. 2010 Mar;3(2):244-52. doi: 10.1161/CIRCHEARTFAILURE.109.884098.  Epub 2010 Jan 8.	Thirty-day outcomes in Medicare patients with heart failure at heart transplant centers.	"Hummel SL(1), Pauli NP, Krumholz HM, Wang Y, Chen J, Normand SL, Nallamothu BK."	 
CID: PMC2987519 PMID: 20637697	Eur J Cardiovasc Nurs. 2011 Jun;10(2):124-9. doi: 10.1016/j.ejcnurse.2010.05.006. Epub 2010 Jul 15.	"Symptom variability, not severity, predicts rehospitalization and mortality in patients with heart failure."	"Moser DK(1), Frazier SK, Worrall-Carter L, Biddle MJ, Chung ML, Lee KS, Lennie TA."	 
23289161	Issue Brief (Commonw Fund). 2012 Dec;34:1-16.	Higher readmissions at safety-net hospitals and potential policy solutions.	"Berenson J(1), Shih A."	 
CID: PMC3413515 PMID: 22533631	BMC Health Serv Res. 2012 Apr 25;12:103. doi: 10.1186/1472-6963-12-103.	The health services burden of heart failure: an analysis using linked population  health data-sets.	"Robertson J(1), McElduff P, Pearson SA, Henry DA, Inder KJ, Attia JR."	 
CID: PMC3647271 PMID: 23580604	J Am Heart Assoc. 2013 Apr 11;2(2):e000116. doi: 10.1161/JAHA.113.000116.	Postdischarge environment following heart failure hospitalization: expanding the  view of hospital readmission.	"Hersh AM(1), Masoudi FA, Allen LA."	 
18362586	Anesthesiology. 2008 Apr;108(4):559-67. doi: 10.1097/ALN.0b013e31816725ef.	Impact of heart failure on patients undergoing major noncardiac surgery.	"Hammill BG(1), Curtis LH, Bennett-Guerrero E, O'Connor CM, Jollis JG, Schulman KA, Hernandez AF."	 
12586230	Am J Med. 2003 Feb 1;114(2):112-9.	The prognostic importance of anemia in patients with heart failure.	"Kosiborod M(1), Smith GL, Radford MJ, Foody JM, Krumholz HM."	 
17064961	Eur J Heart Fail. 2007 May;9(5):518-24. Epub 2006 Oct 24.	Hyperuricaemia and long-term outcome after hospital discharge in acute heart failure patients.	"Pascual-Figal DA(1), Hurtado-Martínez JA, Redondo B, Antolinos MJ, Ruiperez JA, Valdes M."	 
20031893	Circ Cardiovasc Qual Outcomes. 2009 Nov;2(6):558-65. doi: 10.1161/CIRCOUTCOMES.108.826784. Epub 2009 Sep 1.	Mortality and readmission for patients with heart failure among U.S. News & World Report's top heart hospitals.	"Mulvey GK(1), Wang Y, Lin Z, Wang OJ, Chen J, Keenan PS, Drye EE, Rathore SS, Normand SL, Krumholz HM."	 
11066658	Data Strateg Benchmarks. 2000 Apr;4(4):53-4.	Readmission analysis leads to heart failure intervention that cuts returns to hospital.	[No authors listed]	 
15845113	Intern Med J. 2005 May;35(5):296-9.	"Readmission patterns in patients with chronic obstructive pulmonary disease, chronic heart failure and diabetes mellitus: an administrative dataset analysis."	"Brand C(1), Sundararajan V, Jones C, Hutchinson A, Campbell D."	 
21705170	Patient Educ Couns. 2012 Feb;86(2):233-8. doi: 10.1016/j.pec.2011.05.019. Epub 2011 Jun 25.	Relationship between improvements in heart failure patient disease specific knowledge and clinical events as part of a randomized controlled trial.	"Kommuri NV(1), Johnson ML, Koelling TM."	 
20057158	Circ J. 2010 Mar;74(3):490-5. Epub 2010 Jan 7.	Coronary score adds prognostic information for patients with acute coronary syndrome.	"Huang G(1), Zhao JL, Du H, Lan XB, Yin YH."	 
15012879	Med Clin (Barc). 2004 Feb 28;122(7):275.	[Heart failure in the elderly: a frequent cause of readmission].	[Article in Spanish]	 
12000071	Clin Cardiol. 2002 Apr;25(4):149-52.	"Clinical presentation, hospital length of stay, and readmission rate in patients  with heart failure with preserved and decreased left ventricular systolic function."	"Malki Q(1), Sharma ND, Afzal A, Ananthsubramaniam K, Abbas A, Jacobson G, Jafri S."	 
9778547	Cardiology. 1998 Oct;90(2):110-4.	Predictors of death and other cardiac events within 2 years after coronary artery bypass grafting.	"Herlitz J(1), Brandrup-Wognsen G, Karlsson T, Karlson B, Haglid M, Sjöland H."	 
16858241	J Cardiovasc Med (Hagerstown). 2006 Aug;7(8):614-22.	"Lack of improvement of clinical outcomes by a low-cost, hospital-based heart failure management programme."	"Nucifora G(1), Albanese MC, De Biaggio P, Caliandro D, Gregori D, Goss P, Miani D, Fresco C, Rossi P, Bulfoni A, Fioretti PM."	 
24610807	Circulation. 2014 May 20;129(20):2021-30. doi: 10.1161/CIRCULATIONAHA.112.000417. Epub 2014 Mar 7.	Impact of cardiac resynchronization therapy on hospitalizations in the Resynchronization-Defibrillation for Ambulatory Heart Failure trial.	"Gillis AM(1), Kerr CR(2), Philippon F(2), Newton G(2), Talajic M(2), Froeschl M(2), Froeschl S(2), Swiggum E(2), Yetisir E(2), Wells GA(2), Tang AS(2)."	 
21081740	Circ Heart Fail. 2010 Nov;3(6):726-45. doi: 10.1161/CIRCHEARTFAILURE.109.920298.	"Renal function, health outcomes, and resource utilization in acute heart failure: a systematic review."	"Butler J(1), Chirovsky D, Phatak H, McNeill A, Cody R."	 
20189266	Ann Emerg Med. 2010 Sep;56(3):253-7. doi: 10.1016/j.annemergmed.2010.01.031. Epub 2010 Feb 26.	Postdischarge adverse events for 1-day hospital admissions in older adults admitted from the emergency department.	"Pines JM(1), Mongelluzzo J, Hilton JA, Hollander JE, Shofer FS, Souder J, Synnestvedt M, Weiner MG, Datner EM."	 
19656092	Kardiologiia. 2009;49(6):31-5.	[Repetitive hospitalizations of patients with chronic heart failure according to  data of one year follow-up study].	[Article in Russian]	 
20512449	Heart Vessels. 2010 May;25(3):217-22. doi: 10.1007/s00380-009-1194-6. Epub 2010 May 29.	Elevated troponin T on discharge predicts poor outcome of decompensated heart failure.	"Koide K(1), Yoshikawa T, Nagatomo Y, Kohsaka S, Anzai T, Meguro T, Ogawa S."	 
21053704	J Natl Med Assoc. 2010 Oct;102(10):898-905.	Effect of compliance with quality performance measures for heart failure on clinical outcomes in high-risk patients.	"Mansi IA(1), Shi R, Khan M, Huang J, Carden D."	 
22456113	Med Care. 2012 May;50(5):406-9. doi: 10.1097/MLR.0b013e318245a0f9.	Regional associations between Medicare Advantage penetration and administrative claims-based measures of hospital outcomes.	"Kulkarni VT(1), Shah SJ, Bernheim SM, Wang Y, Normand SL, Han LF, Rapp MT, Drye EE, Krumholz HM."	 
CID: PMC1768944 PMID: 15894769	Heart. 2005 Jun;91(6):754-8.	Increased risk of heart failure as a consequence of perioperative myocardial injury after coronary artery bypass grafting.	"Steuer J(1), Granath F, de Faire U, Ekbom A, Ståhle E."	 
23536267	Circ Cardiovasc Imaging. 2013 May 1;6(3):457-65. doi: 10.1161/CIRCIMAGING.112.000230. Epub 2013 Mar 27.	Prognostic value of cardiac time intervals by tissue Doppler imaging M-mode in patients with acute ST-segment-elevation myocardial infarction treated with primary percutaneous coronary intervention.	"Biering-Sørensen T(1), Mogelvang R, Søgaard P, Pedersen SH, Galatius S, Jørgensen PG, Jensen JS."	 
24819690	Heart Lung. 2014 Jul-Aug;43(4):269. doi: 10.1016/j.hrtlng.2014.04.010. Epub 2014  May 10.	"Is there a ""one size fits all"" strategy for reducing heart failure readmissions?"	Lewis CM(1).	 
23210664	J Cardiovasc Electrophysiol. 2013 Mar;24(3):316-22. doi: 10.1111/jce.12037. Epub  2012 Dec 4.	Functional response to cardiac resynchronization therapy is associated with improved clinical outcome and absence of appropriate shocks.	"Van Boven N(1), Bogaard K, Ruiter J, Kimman G, Theuns D, Kardys I, Umans V."	 
8657705	Prog Cardiovasc Nurs. 1996 Winter;11(1):15-20.	Readmission of older heart failure patients.	"Jaarsma T(1), Halfens RJ, Huijer-Abu Saad H."	 
16177941	Herzschrittmacherther Elektrophysiol. 2005 Sep;16(3):150-8.	[Monitoring multiple cardiovascular paramaters using telemedicine in patients with chronic heart failure].	[Article in German]	 
CID: PMC3500836 PMID: 23019293	Circulation. 2012 Oct 30;126(18):2200-7. doi: 10.1161/CIRCULATIONAHA.112.109330.  Epub 2012 Sep 26.	Outcomes of Medicare beneficiaries undergoing catheter ablation for atrial fibrillation.	"Piccini JP(1), Sinner MF, Greiner MA, Hammill BG, Fontes JD, Daubert JP, Ellinor  PT, Hernandez AF, Walkey AJ, Heckbert SR, Benjamin EJ, Curtis LH."	 
CID: PMC4319870 [Available on 2016-02-01] PMID: 25040588	Health Serv Res. 2015 Feb;50(1):40-57. doi: 10.1111/1475-6773.12207. Epub 2014 Jul 15.	What is the value of adding Medicare data in estimating VA hospital readmission rates?	"O'Brien WJ(1), Chen Q, Mull HJ, Shwartz M, Borzecki AM, Hanchate A, Rosen AK."	 
20031870	Circ Cardiovasc Qual Outcomes. 2009 Sep;2(5):407-13. doi: 10.1161/CIRCOUTCOMES.109.883256. Epub 2009 Jul 9.	Patterns of hospital performance in acute myocardial infarction and heart failure 30-day mortality and readmission.	"Krumholz HM(1), Merrill AR, Schone EM, Schreiner GC, Chen J, Bradley EH, Wang Y,  Wang Y, Lin Z, Straube BM, Rapp MT, Normand SL, Drye EE."	 
21139093	Circ Cardiovasc Qual Outcomes. 2011 Jan 1;4(1):60-7. doi: 10.1161/CIRCOUTCOMES.110.954693. Epub 2010 Dec 7.	Incremental value of clinical data beyond claims data in predicting 30-day outcomes after heart failure hospitalization.	"Hammill BG(1), Curtis LH, Fonarow GC, Heidenreich PA, Yancy CW, Peterson ED, Hernandez AF."	 
24684781	Mayo Clin Proc. 2014 May;89(5):662-76. doi: 10.1016/j.mayocp.2014.01.004. Epub 2014 Mar 29.	Contemporary strategies in the diagnosis and management of heart failure.	"Dunlay SM(1), Pereira NL(2), Kushwaha SS(2)."	 
21549361	Rev Clin Esp. 2011 Jul-Aug;211(7):329-37. doi: 10.1016/j.rce.2011.02.009. Epub 2011 May 6.	[EAHFE (Epidemiology Acute Heart Failure Emergency) study: analysis of the patients with echocardiography performed prior to an emergency visit due to an episode of acute heart failure].	[Article in Spanish]	 
